,Ticker,Close,Adj Close,Volume,Max,min,max drop,YTD,1d,1mo,1wk
VT,VT,94.66,94.66,3025408.0,109.23,93.80,-13.34%,-11.89%,-1.27%,-9.60%,0.81%
VTI,VTI,211.99,211.99,5492229.0,242.97,210.05,-12.75%,-12.20%,-1.36%,-8.34%,0.36%
VWO,VWO,43.86,43.86,18449051.0,58.64,43.86,-25.20%,-11.32%,-2.03%,-13.44%,-0.68%
VYM,VYM,108.38,108.38,1662311.0,115.01,102.30,-5.76%,-3.33%,-0.57%,-4.64%,-0.38%
WST,WST,363.21,363.21,292049.0,471.34,357.49,-22.94%,-22.56%,-2.22%,-11.15%,-2.59%
XLE,XLE,76.85,76.85,44864292.0,101.29,45.79,-24.13%,38.47%,-0.80%,11.62%,0.67%
XMTR,XMTR,38.84,38.84,658006.0,87.39,38.84,-55.56%,-24.21%,-7.52%,-23.03%,-9.32%
XRP-USD,XRP-USD,0.79,0.79,3099127808.0,3.38,0.60,-76.48%,-4.42%,7.73%,1.09%,9.84%
ZKIN,ZKIN,1.04,1.04,196012.0,12.35,1.04,-91.58%,-25.18%,-2.80%,-33.33%,-15.45%
ZM,ZM,98.12,98.12,6442457.0,568.34,98.12,-82.74%,-46.65%,-5.04%,-34.41%,-9.05%
